time,demand,supply
513,0.573,-0.003
514,0.702,-0.003
515,0.947,0.035
516,0.664,0.103
517,0.720,0.151
518,0.512,0.232
519,0.811,0.201
520,1.253,0.120
521,1.445,0.150
522,0.818,0.059
523,1.116,-0.004
524,0.855,-0.003
525,1.620,-0.001
526,0.964,-0.003
527,0.957,-0.003
528,0.674,-0.003
529,0.592,-0.003
530,0.557,-0.003
531,0.507,-0.003
532,0.537,-0.003
533,0.526,-0.003
534,0.653,-0.002
535,0.528,-0.003
536,0.567,-0.003
537,0.553,-0.003
538,0.703,0.024
539,0.633,0.081
540,0.655,0.263
541,0.543,0.424
542,0.587,0.703
543,1.093,1.352
544,1.552,1.414
545,1.794,1.586
546,1.379,0.555
547,1.006,0.112
548,0.886,-0.003
549,1.905,-0.001
550,1.164,-0.002
551,1.206,-0.002
552,0.525,-0.003
553,0.588,-0.003
554,0.577,-0.003
555,0.544,-0.003
556,0.537,-0.003
557,0.583,-0.003
558,0.527,-0.003
559,0.596,-0.003
560,0.623,-0.003
561,0.572,0.024
562,0.752,0.381
563,0.620,1.461
564,0.581,2.615
565,0.687,3.368
566,0.739,3.796
567,2.986,3.709
568,1.842,2.333
569,2.061,1.474
570,0.979,0.529
571,1.003,0.136
572,1.088,-0.002
573,0.897,-0.000
574,1.012,-0.003
575,1.087,-0.002
576,0.592,-0.003
577,0.579,-0.003
578,0.542,-0.003
579,0.464,-0.003
580,0.490,-0.003
581,0.548,-0.003
582,0.562,-0.003
583,0.379,-0.003
584,0.568,-0.003
585,0.789,0.009
586,0.595,0.331
587,0.450,1.468
588,0.401,2.625
589,0.401,3.307
590,0.813,3.789
591,0.686,4.020
592,0.600,4.060
593,0.943,2.210
594,0.687,0.461
595,0.884,0.148
596,0.925,-0.004
597,0.829,-0.002
598,1.108,-0.002
599,1.151,-0.003
600,0.646,-0.004
601,0.461,-0.003
602,0.592,-0.003
603,0.382,-0.003
604,0.559,-0.003
605,0.588,-0.003
606,0.413,-0.003
607,0.507,-0.003
608,0.600,-0.003
609,0.823,0.041
610,0.529,0.375
611,0.591,1.309
612,0.434,2.294
613,0.470,2.593
614,0.583,2.925
615,1.044,3.099
616,1.201,3.051
617,0.830,1.976
618,0.852,0.606
619,0.918,0.158
620,0.963,-0.003
621,2.065,0.001
622,0.971,-0.003
623,0.948,-0.003
624,0.683,-0.003
625,0.393,-0.003
626,0.373,-0.003
627,0.382,-0.003
628,0.389,-0.003
629,0.367,-0.003
630,0.367,-0.003
631,0.385,-0.003
632,0.391,-0.003
633,0.376,0.010
634,0.489,0.325
635,0.491,1.360
636,0.403,2.542
637,0.410,3.373
638,0.443,3.808
639,0.636,3.902
640,0.429,3.784
641,0.660,2.499
642,0.729,0.344
643,0.870,0.040
644,0.808,-0.003
645,1.069,-0.003
646,1.143,-0.002
647,1.084,-0.003
648,0.676,-0.003
649,0.435,-0.003
650,0.380,-0.003
651,0.404,-0.003
652,0.387,-0.003
653,0.392,-0.003
654,0.378,-0.003
655,0.398,-0.003
